fips2010,fips2000,Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,State,cbsasub,areaname,county,CouSub,countyname,county_town_name,pop2010,hu2010,state_alpha
0100199999,0100199999,886,633,735,1136,1536,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,54571,22135,AL
0100399999,0100399999,1047,865,908,1524,1751,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,182265,104061,AL
0100599999,0100599999,722,540,543,903,1031,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,27457,11829,AL
0100799999,0100799999,937,719,812,1258,1405,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22915,8981,AL
0100999999,0100999999,937,719,812,1258,1405,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57322,23887,AL
0101199999,0101199999,664,525,528,912,915,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10914,4493,AL
0101399999,0101399999,654,489,492,894,1152,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20947,9964,AL
0101599999,0101599999,672,466,506,873,979,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15,99999,Calhoun County,Calhoun County,118572,53289,AL
0101799999,0101799999,797,506,638,997,1099,1,NCNTY01017N01017,"Chambers County, AL",17,99999,Chambers County,Chambers County,34215,17004,AL
0101999999,0101999999,689,515,518,981,984,1,NCNTY01019N01019,"Cherokee County, AL",19,99999,Cherokee County,Cherokee County,25989,16267,AL
0102199999,0102199999,658,513,570,958,1159,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21,99999,Chilton County,Chilton County,43643,19278,AL
0102399999,0102399999,725,542,545,907,1036,1,NCNTY01023N01023,"Choctaw County, AL",23,99999,Choctaw County,Choctaw County,13859,7269,AL
0102599999,0102599999,621,513,538,896,1003,1,NCNTY01025N01025,"Clarke County, AL",25,99999,Clarke County,Clarke County,25833,12638,AL
0102799999,0102799999,621,513,538,884,887,1,NCNTY01027N01027,"Clay County, AL",27,99999,Clay County,Clay County,13932,6776,AL
0102999999,0102999999,705,527,530,882,1009,1,NCNTY01029N01029,"Cleburne County, AL",29,99999,Cleburne County,Cleburne County,14972,6718,AL
0103199999,0103199999,718,593,600,1045,1265,1,NCNTY01031N01031,"Coffee County, AL",31,99999,Coffee County,Coffee County,49948,22330,AL
0103399999,0103399999,713,560,564,950,1156,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",33,99999,Colbert County,Colbert County,54428,25758,AL
0103599999,0103599999,621,464,467,884,887,1,NCNTY01035N01035,"Conecuh County, AL",35,99999,Conecuh County,Conecuh County,13228,7093,AL
0103799999,0103799999,714,565,568,954,1020,1,NCNTY01037N01037,"Coosa County, AL",37,99999,Coosa County,Coosa County,11539,6478,AL
0103999999,0103999999,666,498,501,879,1173,1,NCNTY01039N01039,"Covington County, AL",39,99999,Covington County,Covington County,37765,18829,AL
0104199999,0104199999,621,477,480,818,1029,1,NCNTY01041N01041,"Crenshaw County, AL",41,99999,Crenshaw County,Crenshaw County,13906,6735,AL
0104399999,0104399999,709,535,566,905,977,1,NCNTY01043N01043,"Cullman County, AL",43,99999,Cullman County,Cullman County,80406,37054,AL
0104599999,0104599999,672,438,529,943,1184,1,NCNTY01045N01045,"Dale County, AL",45,99999,Dale County,Dale County,50251,22677,AL
0104799999,0104799999,639,490,529,844,1050,1,NCNTY01047N01047,"Dallas County, AL",47,99999,Dallas County,Dallas County,43820,20208,AL
0104999999,0104999999,836,627,631,1050,1152,1,NCNTY01049N01049,"DeKalb County, AL",49,99999,DeKalb County,DeKalb County,71109,31109,AL
0105199999,0105199999,886,633,735,1136,1536,1,METRO33860M33860,"Montgomery, AL MSA",51,99999,Elmore County,Elmore County,79303,32657,AL
0105399999,0105399999,650,537,563,837,923,1,NCNTY01053N01053,"Escambia County, AL",53,99999,Escambia County,Escambia County,38319,16486,AL
0105599999,0105599999,778,573,592,973,1117,1,METRO23460M23460,"Gadsden, AL MSA",55,99999,Etowah County,Etowah County,104430,47454,AL
0105799999,0105799999,621,495,538,884,887,1,NCNTY01057N01057,"Fayette County, AL",57,99999,Fayette County,Fayette County,17241,8437,AL
0105999999,0105999999,636,507,536,796,908,1,NCNTY01059N01059,"Franklin County, AL",59,99999,Franklin County,Franklin County,31704,14022,AL
0106199999,0106199999,710,550,553,955,1128,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",61,99999,Geneva County,Geneva County,26790,12687,AL
0106399999,0106399999,621,491,494,884,887,1,NCNTY01063N01063,"Greene County, AL",63,99999,Greene County,Greene County,9045,5007,AL
0106599999,0106599999,831,602,684,1067,1145,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",65,99999,Hale County,Hale County,15760,7655,AL
0106799999,0106799999,621,513,538,784,1094,1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",67,99999,Henry County,Henry County,17302,8891,AL
0106999999,0106999999,710,550,553,955,1128,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",69,99999,Houston County,Houston County,101547,45319,AL
0107199999,0107199999,665,422,545,832,917,1,NCNTY01071N01071,"Jackson County, AL",71,99999,Jackson County,Jackson County,53227,24786,AL
0107399999,0107399999,937,719,812,1258,1405,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",73,99999,Jefferson County,Jefferson County,658466,300552,AL
0107599999,0107599999,621,495,515,818,887,1,NCNTY01075N01075,"Lamar County, AL",75,99999,Lamar County,Lamar County,14564,7354,AL
0107799999,0107799999,713,560,564,950,1156,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",77,99999,Lauderdale County,Lauderdale County,92709,43791,AL
0107999999,0107999999,678,452,545,903,947,1,METRO19460M19460,"Decatur, AL MSA",79,99999,Lawrence County,Lawrence County,34339,15229,AL
0108199999,0108199999,859,585,646,1157,1402,1,METRO12220M12220,"Auburn-Opelika, AL MSA",81,99999,Lee County,Lee County,140247,62391,AL
0108399999,0108399999,800,580,665,1088,1410,1,METRO26620M26620,"Huntsville, AL MSA",83,99999,Limestone County,Limestone County,82782,34977,AL
0108599999,0108599999,886,633,735,1136,1536,1,METRO33860M33860,"Montgomery, AL MSA",85,99999,Lowndes County,Lowndes County,11299,5140,AL
0108799999,0108799999,621,472,475,904,1012,1,NCNTY01087N01087,"Macon County, AL",87,99999,Macon County,Macon County,21452,10259,AL
0108999999,0108999999,800,580,665,1088,1410,1,METRO26620M26620,"Huntsville, AL MSA",89,99999,Madison County,Madison County,334811,146447,AL
0109199999,0109199999,621,471,474,876,887,1,NCNTY01091N01091,"Marengo County, AL",91,99999,Marengo County,Marengo County,21027,10237,AL
0109399999,0109399999,621,464,467,807,891,1,NCNTY01093N01093,"Marion County, AL",93,99999,Marion County,Marion County,30776,14737,AL
0109599999,0109599999,644,481,485,884,888,1,NCNTY01095N01095,"Marshall County, AL",95,99999,Marshall County,Marshall County,93019,40342,AL
0109799999,0109799999,954,778,783,1244,1440,1,METRO33660M33660,"Mobile, AL MSA",97,99999,Mobile County,Mobile County,412992,178196,AL
0109999999,0109999999,621,495,538,860,1046,1,NCNTY01099N01099,"Monroe County, AL",99,99999,Monroe County,Monroe County,23068,11333,AL
